,DailyAvgTemp,new_DateId
0,22.6,2017-01-01
1,21.4,2017-01-02
2,20.7,2017-01-03
3,23.2,2017-01-04
4,22.4,2017-01-05
5,22.2,2017-01-06
6,22.6,2017-01-07
7,20.2,2017-01-08
8,17.7,2017-01-09
9,18.7,2017-01-10
10,19.5,2017-01-11
11,20.0,2017-01-12
12,15.7,2017-01-13
13,13.7,2017-01-14
14,14.0,2017-01-15
15,15.1,2017-01-16
16,19.2,2017-01-17
17,20.2,2017-01-18
18,19.3,2017-01-19
19,14.3,2017-01-20
20,14.3,2017-01-21
21,14.9,2017-01-22
22,14.7,2017-01-23
23,14.5,2017-01-24
24,15.4,2017-01-25
25,16.4,2017-01-26
26,18.5,2017-01-27
27,20.3,2017-01-28
28,20.7,2017-01-29
29,17.5,2017-01-30
30,16.1,2017-01-31
31,17.1,2017-02-01
32,15.6,2017-02-02
33,19.8,2017-02-03
34,19.7,2017-02-04
35,19.2,2017-02-05
36,17.9,2017-02-06
37,17.9,2017-02-07
38,17.9,2017-02-08
39,11.7,2017-02-09
40,11.9,2017-02-10
41,12.4,2017-02-11
42,14.4,2017-02-12
43,16.3,2017-02-13
44,16.9,2017-02-14
45,19.8,2017-02-15
46,19.4,2017-02-16
47,20.8,2017-02-17
48,19.8,2017-02-18
49,21.5,2017-02-19
50,20.6,2017-02-20
51,19.5,2017-02-21
52,19.6,2017-02-22
53,15.7,2017-02-23
54,13.1,2017-02-24
55,14.2,2017-02-25
56,13.3,2017-02-26
57,15.3,2017-02-27
58,14.7,2017-02-28
59,16.4,2017-03-01
60,14.5,2017-03-02
61,16.9,2017-03-03
62,18.3,2017-03-04
63,20.5,2017-03-05
64,16.0,2017-03-06
65,14.0,2017-03-07
66,14.0,2017-03-08
67,16.0,2017-03-09
68,17.4,2017-03-10
69,19.7,2017-03-11
70,21.8,2017-03-12
71,18.3,2017-03-13
72,14.2,2017-03-14
73,16.1,2017-03-15
74,16.2,2017-03-16
75,18.1,2017-03-17
76,19.9,2017-03-18
77,19.5,2017-03-19
78,21.8,2017-03-20
79,18.7,2017-03-21
80,20.9,2017-03-22
81,18.9,2017-03-23
82,21.1,2017-03-24
83,16.6,2017-03-25
